,Unnamed: 0,IUCA,Texto,Etiqueta
48,580,71,¿A qué se refiere el concepto de  recategorización?,definicion
49,581,71,¿A qué se le denomina recategorización?,definicion
50,582,71,¿Cuál es la definición de  recategorización?,definicion
51,583,71,¿En qué consiste la  recategorización?,definicion
52,969,128,¿Qué significa el reintegro del componente impositivo?,definicion
53,1236,12,¿Qué conceptos componen el Monotributo?,definicion
54,1239,15,¿Qué se entiende por ingresos brutos?,definicion
55,1254,30,¿Qué se entiende por unidad de explotación? ¿y por actividad económica?,definicion
56,1257,33,"¿Cuál es la diferencia entre un responsable inscripto en el impuesto al Valor Agregado y un Monotributista, a los efectos de la generación de débito fiscal?",definicion
57,1265,41,¿Cuál es el domicilio fiscal de una persona humana?,definicion
58,1279,55,¿Qué es el CUR?,definicion
59,1295,71,¿Qué es la recategorización?,definicion
60,1049,138,¿Qué efectos tienen las deudas de la AFIP?,manera
61,684,84,¿Cómo se lleva a cabo la notificación para la recategorización de oficio cuando sea por controles sistémicos?,manera
62,965,127,¿Cómo pago las cargas sociales de mis empleados?,manera
63,118,16,Si estoy inscripto en varias actividades ¿La categorización es una sola o por actividad?,manera
64,653,80,"Para el caso de tipos de actividades que no consideran parámetros tales como: ingresos brutos, superficie afectada, energía eléctrica, monto de alquileres o precio unitario, ¿De qué manera se completan los campos correspondientes al momento de realizar la adhesión o recategorización al Monotributo?",manera
65,1050,138,¿Qué pasa si tengo deudas en el sistema?,manera
66,1208,158,¿Cuáles son las consecuencias de no poseer los comprobantes de respaldo de mis operaciones?,manera
67,1261,37,¿Qué documentación deberán presentar las personas humanas para tramitar el número de CUIT en caso de optar por realizar el trámite de forma presencial?,manera
68,857,107,Si soy monotributista y me corresponde presentar el Impuesto a los Bienes Personales ¿Cómo tengo que hacer la declaración jurada?,manera
69,1026,135,¿Cómo puedo regularizar la deuda de Monotributo de períodos posteriores a julio de 2004?,manera
70,622,76,"Para el caso de una persona que realiza una actividad y todavía no supera el año, ¿De qué forma se realiza el cálculo a los efectos de la recategorización?",manera
71,1056,139,¿Qué información obtengo del servicio CCMA?,manera
72,254,34,¿De qué manera interviene sumar una actividad en el monotributo al pago de anticipos del impuesto a las ganancias de otra actividad?,manera
73,234,32,¿Qué puedo hacer con el crédito fiscal cuando cambio de Responsable Inscripto a Monotributista?,manera
74,1075,141,"Necesito ver los beneficios previsionales en el CCMA, ¿Qué hago?",manera
75,799,98,¿Qué pasa si me quiero inscribir en el Monotributo pero soy extranjero?,manera
76,1363,138,¿Qué efectos producen las deudas que figuran en el sistema?,manera
77,237,32,¿Qué ocurre con el crédito fiscal si siendo responsable inscripto paso a ser monotributista?,manera
78,1340,115,¿Cuál es el tratamiento aplicable a los condominios?,manera
79,273,36,Para solicitar el CUIT ¿Debo tener en cuenta el domicilio real o fiscal?,manera
80,623,76,"¿Cómo se debe de realizar el cálculo a los efectos de la recategorización, en el caso que no transcurrieron 12 meses desde el inicio de una actividad?",manera
81,279,37,¿Qué debo realizar para solicitar el CUIT en forma presencial?,manera
82,463,57,"Si siendo responsable inscripto tenía un saldo a favor en el impuesto a las ganancias, ¿qué sucederá con el mismo cuando me traspase al monotributo?",manera
83,105,14,¿A qué categoría debería inscribirme cuando me dé de alta al monotributo?,manera
84,182,25,¿Cómo tengo que hacer si soy monotributista y a la vez administro una sociedad que no está adherida al régimen simplificado?,manera
85,106,14,¿Cómo sé a qué categoría de monotributo corresponde mi actividad?,manera
86,1036,136,¿Qué debo hacer para que computen el pago erróneo?,manera
87,301,39,¿Qué debería presentar para inscribirme en el monotributo si no poseo DNI?,manera
88,1034,136,¿cómo solicito que reconsideren pagos imputados por error?,manera
89,1271,47,¿Cuál es el tratamiento aplicable a los condominios?,manera
90,1361,136,¿Cómo reafectar pagos imputados erróneamente?,manera
91,397,49,¿Que pongo en los campos en los que no necesito contestar dada mi actividad?,manera
92,1038,136,"El pago erróneamente imputado, ¿cómo se puede reafectar?",manera
93,1083,142,¿Cómo facturo?,manera
94,115,15,¿Cómo me doy cuenta de cuáles son mis ingresos brutos?,manera
95,1245,21,"Si se desarrolla la actividad en el hogar, ¿cómo se computa la superficie y el consumo eléctrico a los fines de la categorización?",manera
96,975,128,¿Qué hago para que reintegren el componente impositivo?,manera
97,1060,139,No tengo en claro qué puedo hacer en el servicio CCMA.,manera
98,654,80,"Si un tipo de actividades no tiene en cuenta parámetros tales como: ingresos brutos, superficie afectada, energía eléctrica, monto de alquileres o precio unitario, ¿Cómo se dejan los campos correspondientes al momento de realizar la adhesión o recategorización al Monotributo?",manera
99,227,31,¿Qué puedo hacer con las cargas de familias cuando cambio de Responsable Inscripto a Monotributista?,manera
100,1347,122,¿Cuáles son las formas de abonar el Monotributo?,manera
101,1057,139,¿Qué operaciones tiene el servicio CCMA?,manera
102,471,58,¿Qué cosas puedo hacer en la sección de monotributo?,manera
103,1304,80,"Si por el tipo de actividad no se deben considerar determinados parámetros tales como: ingresos brutos, superficie afectada, energía eléctrica, monto de alquileres o precio unitario, ¿cómo se deben completar los campos correspondientes a cada parámetro al momento de realizar la adhesión o recategorización al Monotributo?",manera
104,1067,140,¿Cómo notifico una diferencia con el sistema?,manera
105,1054,139,¿Qué puedo hacer desde el servicio CCMA?,manera
106,1061,139,¿Me podrías decir qué operaciones posee el servicio CCMA?,manera
107,1072,141,¿Cómo visualizo los beneficios previsionales en el servicio CCMA?,manera
108,762,94,¿Qué ocurre con el comercio exterior y el Monotributo?,manera
109,1001,132,¿Qué sucede con el pago cuando mi cooperativa de trabajo está inscripta en el Registro Nacional de Efectores de Desarrollo Local y Economía Social?,manera
110,371,46,"¿Para inscribir una actividad económica, por dónde debo ingresar?",procedimiento
111,943,123,¿Cómo puedo hacer para pagar el monotributo con débito automático?,procedimiento
112,496,61,¿Cómo sacar a una persona de la obra social?,procedimiento
113,1291,67,¿Cómo se agrega a un adherente a la obra social?,procedimiento
114,1349,124,¿Cómo se adhiere el pago del Monotributo al débito automático en la tarjeta de crédito?,procedimiento
115,543,67,¿Cómo es el trámite para añadir un adherente a la obra social?,procedimiento
116,1286,62,¿Cómo se realiza el cambio de actividad?,procedimiento
117,924,119,¿Cómo pago vencido el mes de monotributo?,procedimiento
118,706,87,¿Qué puedo hacer si no estoy de acuerdo con la recategorización de oficio?,procedimiento
119,540,66,¿Cómo debe proceder un monotributista si desea cambiar de obra social?,procedimiento
120,1019,134,¿Cómo hago para re imprimir la credencial de pago?,procedimiento
121,360,45,¿Cómo es posible que un condómino se inscriba en el monotributo?,procedimiento
122,1012,133,¿Cómo tienen que hacer el pago del año los adheridos al régimen de inclusión social?,procedimiento
123,525,64,¿Cómo una persona debe modificar los datos de monotributo si ahora es jubilado?,procedimiento
124,707,87,¿Cuál es el trámite para expresar mi disconformidad con la recategorización de oficio?,procedimiento
125,453,56,Si soy Responsable Inscripto y deseo cambiarme al Monotributo ¿Cómo tengo que hacer?,procedimiento
126,926,119,¿Cómo se pagan los intereses por el mes vencido?,procedimiento
127,493,61,¿Qué tengo que hacer para dar de baja a un integrante de la Obra Social?,procedimiento
128,1278,54,¿Cómo se reimprime la credencial de pago?,procedimiento
129,363,45,¿Qué requisitos se necesitan seguir para hacer que un condómino sea monotributista?,procedimiento
130,1290,66,¿Cómo se realiza el cambio de obra social?,procedimiento
131,1359,134,¿Cómo se reimprime la credencial de pago?,procedimiento
132,1021,134,"Necesito la credencial de pago, ¿Cómo la obtengo?",procedimiento
133,16,2,¿Cómo me doy de baja del Monotributo?,procedimiento
134,22,2,¿Cuáles son los pasos para darme de baja en el monotributo?,procedimiento
135,522,64,¿Cómo informo sobre mi jubilación en mi monotributo?,procedimiento
136,1022,134,¿Cómo reimprimo la credencial de pago?,procedimiento
137,534,66,¿Qué trámite debo hacer si cambio mi obra social?,procedimiento
138,711,87,¿Cuál es el procedimiento a seguir  en caso de no estar conforme con la recategorización de oficio?,procedimiento
139,949,124,¿Cómo me adhiero al débito automático de mi tarjeta de crédito?,procedimiento
140,1344,119,¿Cómo se deben ingresar los pagos de diferencias de monotributo?,procedimiento
141,922,119,¿Cómo tengo que hacer si se venció mi monotributo y no lo pagué?,procedimiento
142,1288,64,¿Cómo se modifica la situación frente al Monotributo en caso de haberse jubilado y continuar con la actividad?,procedimiento
143,1008,133,Si estoy adherido al Régimen de Inclusión Social y Promoción del Trabajo Independiente ¿Cómo puedo pagar anualmente?,procedimiento
144,557,68,¿Cómo se modifica la dirección?,procedimiento
145,643,79,¿Cuáles son las consecuencia de una recategorización errónea?,procedimiento
146,719,88,¿Qué consideraciones se realizan ante una recategorización por fiscalización presencial?,procedimiento
147,573,70,¿Cuáles son los pasos  para realizar la recategorización?,procedimiento
148,647,79,¿Qué sanción se aplicará y los pasos a seguir luego de una recategorización inexacta?,procedimiento
149,545,67,¿Cómo puedo agregar a una persona a la obra social?,procedimiento
150,710,87,¿Qué trámite se debe efectuar para el caso  de disconformidad con la recategorización de oficio?,procedimiento
151,513,63,"Si ahora soy un empleado en relación de dependencia, ¿cómo lo informo en mi monotributo?",procedimiento
152,715,88,¿Cómo es el trámite en una recategorización por fiscalización presencial?,procedimiento
153,361,45,¿Cómo un condómino puede ser monotributista?,procedimiento
154,20,2,¿Cómo hago para darme de baja?,procedimiento
155,531,65,¿Qué trámites tengo que hacer para informar a mi monotributo los aportes en una caja previsional provincial?,procedimiento
156,644,79,"Para el caso de recategorización inexacta, ¿Cuáles son las sanciones y  los pasos a seguir?",procedimiento
157,571,70,¿De qué manera se realiza la recategorización?,procedimiento
158,550,67,¿Cuáles son los requisitos para ingresar una persona a la obra social?,procedimiento
159,558,68,¿De qué forma se modifica el domicilio ?,procedimiento
160,767,94,¿En qué casos se puede realizar exportaciones siendo monotributista?,razon
161,667,82,¿Qué se debe cumplir para proceder a la recategorización de oficio?,razon
162,1379,154,¿Cuáles son las operaciones excluidas de la obligación de emisión de comprobantes electrónicos?,razon
163,870,109,¿En qué casos siendo monotributista debo presentar la declaración jurada del impuesto a las ganancias?,razon
164,741,91,¿Cuáles son los requerimientos necesarios para poder inscribirse en el Régimen de Monotributo?,razon
165,353,44,¿Quienes no necesitan constituir el domicilio fiscal electrónico?,razon
166,1166,152,¿Qué personas se exceptúan de emitir comprobantes electrónicos?,razon
167,1377,152,¿Qué sujetos se encuentran exceptuados de emitir comprobantes electrónicos?,razon
168,133,18,"¿En qué caso no debo considerar declarar la ""energía eléctrica""?",razon
169,634,78,¿Cuándo estoy obligado a recategorizarme?,razon
170,750,92,¿Qué ocupaciones se encuentran exceptuadas del monotributo?,razon
171,640,78,¿En qué casos los monotributistas no están obligados a realizar la recategorización?,razon
172,1314,90,¿Quiénes pueden ser monotributistas?,razon
173,671,82,¿Qué debe suceder para continuar a la recategorización de oficio?,razon
174,868,109,¿Cuándo me corresponde hacer la declaración jurada del impuesto a las ganancias?,razon
175,134,18,¿Qué actividades no consideran el parámetro de la energía electrica?,razon
176,1160,152,¿Quiénes son los sujetos exceptuados de hacer facturas?,razon
177,911,116,¿En qué casos estoy exceptuado de cumplir con las obligaciones de modo electrónico?,razon
178,734,90,¿Qué  ciudadanos pueden ser monotributistas?,razon
179,1302,78,¿En qué casos los monotributistas no se encuentran obligados a realizar la recategorización?,razon
180,1093,143,¿Cuándo puedo hacer facturas electrónicas?,razon
181,1224,1,¿En qué situaciones se producirá la exclusión del Monotributo?,razon
182,1316,92,¿Qué actividades se encuentran excluidas del monotributo?,razon
183,98,13,¿Cuáles son los conceptos exceptuados de pagar en el Monotributo?,razon
184,746,92,¿Puedo realizar cualquier actividad siendo Monotributista?,razon
185,670,82,¿Qué debe suceder para proceder a la recategorización de oficio?,razon
186,14,1,¿Cuándo puedo llegar a quedar excluido?,razon
187,739,91,¿Qué requisitos se deden cumplir para poder inscribirse en el Régimen de Monotributo?,razon
188,1237,13,¿Quiénes se encuentran exceptuados de ingresar las cotizaciones previsionales fijas?,razon
189,663,82,¿Cuándo me puede recategorizar AFIP?,razon
190,733,90,¿Qué  cualidades se debe tener  para ser monotributistas?,razon
191,352,44,¿Cuándo puedo exceptuarme del domicilio fiscal electrónico siendo monotributista?,razon
192,872,109,¿Cuándo debo presentar la declaración jurada del impuesto a ganancias?,razon
193,1180,154,¿Qué operaciones están excluídas del comprobante electrónico?,razon
194,1242,18,"¿En qué casos no se tendrá en cuenta el parámetro ""energía eléctrica""?",razon
195,1094,143,¿En qué casos estoy obligado a emitir comprobante manual?,razon
196,485,60,¿Qué datos del Monotributo generan la credencial de pago?,razon
197,503,62,¿En qué casos considera AFIP que cambié mi actividad?,razon
198,1179,154,¿Qué operaciones no requieren la emisión de comprobante electrónico?,razon
199,447,55,¿Para qué sirve el CUR?,razon
200,635,78,¿Cuáles son las excepciones a la recategorización?,razon
201,910,116,¿Cuando se puede pagar en efectivo?,razon
202,668,82,¿En qué casos se continuará con la recategorización de oficio?,razon
203,15,1,¿En qué casos puedo quedar excluido del monotributo?,razon
204,1230,7,¿En qué casos se produce la baja automática en el Monotributo?,razon
205,1181,154,¿Cuáles operaciones no están obligadas a la emisión de comprobante electrónico?,razon
206,135,18,¿Cuándo tengo que tener en cuenta el parámetro de la electricidad?,razon
207,347,44,¿En qué casos no es obligatorio constituir domicilio fiscal electrónico?,razon
208,639,78,¿En qué situaciones los monotributistas están exceptuados de recategorizarse?,razon
209,747,92,¿Cuáles actividades se encuentran excluidas del monotributo?,razon
210,1369,144,¿Qué documentación se deberá exhibir en los locales?,referencia
211,601,74,¿Cómo puedo saber si estoy incumpliendo con algún o algunos requisistos del Monotributo?,referencia
212,1171,153,¿Qué comprobantes debo emitir electrónicamente?,referencia
213,85,11,¿Qué cantidad debo abonar por el monotributo?,referencia
214,1104,145,¿Qué tipos de comprobantes puedo hacer?,referencia
215,1175,153,¿Cuáles son los comprobantes que tengo que presentar obligatoriamente de forma electrónica?,referencia
216,1130,148,¿Cuáles son los comprobantes que deben llevar código de barra?,referencia
217,605,74,¿Dónde se podrá consultar el monotributista si tiene datos erróneos?,referencia
218,1372,147,¿Qué letra deben contener las facturas de exportación?,referencia
219,1100,144,¿Qué documentos avalan mi condición de monotributista?,referencia
220,82,11,¿Se paga diferente importe de acuerdo a la categoría de Monotributo?,referencia
221,1190,156,"¿Qué tipo de comprobantes pueden hacer los Monotributistas del tipo ""efector social""?",referencia
222,1127,147,¿Qué tipo llevan las facturas de exportación?,referencia
223,1156,151,¿Qué letra llevan los comprobantes tipo remito?,referencia
224,688,85,¿Dónde veo los motivos por los cuales se me recategorizó de oficio?,referencia
225,1111,145,¿Qué comprobante es válido de emitir?,referencia
226,695,85,¿Es posible encontrar un lugar donde se pueda consultar las razones de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?,referencia
227,1129,148,¿El código de barras es para todos los tipos de comprobantes?,referencia
228,87,11,¿La cantidad a abonar es conforme a la categoría del monotributo?,referencia
229,444,55,¿Dónde puedo obtener el CUR?,referencia
230,691,85,¿En qué lugar se podrán consultar los motivos de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?,referencia
231,1381,156,"¿Qué tipo de factura deben de emitir los monotributistas inscriptos baja la condición ""efector social""?",referencia
232,604,74,¿Dónde podrá consultar el monotributista si tiene datos inconsistentes ?,referencia
233,498,61,"Para dar de baja a una persona de mi obra social, ¿a dónde debo dirigirme?",referencia
234,694,85,¿Existe un lugar donde se pueda consultar las razones de la recategorización de oficio por controles sistémicos y la liquidación de los montos correspondientes a la nueva categoría?,referencia
235,1103,145,¿Cuáles son los comprobantes que debo emitir?,referencia
236,1235,11,¿Cuáles son las categorías e importes a pagar?,referencia
237,1098,144,¿Qué comprobante debo tener a la vista en mi local?,referencia
238,86,11,¿Difiere el importe del monotributo de acuerdo a la categoría?,referencia
239,1193,156,"Si estoy inscrito como efector social, ¿Qué clase de factura emito?",referencia
240,1376,151,¿Qué letra deben contener los remitos?,referencia
241,1099,144,¿Qué documentación respaldatoria debo mostrar en mi negocio?,referencia
242,1194,156,¿Cuál es el tipo de factura que debo emitir si soy monotributista efector social?,referencia
243,1106,145,¿Qué letras de comprobantes puede hacer un Monotributista?,referencia
244,1131,148,¿Qué tipo de factura lleva el código de barra?,referencia
245,83,11,¿Cuál es el importe que debo pagar según mi categoría?,referencia
246,1128,148,¿Todos los comprobantes deben tener código de barras?,referencia
247,606,74,¿En qué sitio podrá consultar el monotributista si tiene inconsistencias?,referencia
248,1132,148,¿Qué letra tienen los comprobantes que incluyen código de barra?,referencia
249,1173,153,¿Cuáles comprobantes son obligatorios de presentar de forma electrónica?,referencia
250,1158,151,¿Qué tipo llevan los remitos?,referencia
251,1169,153,¿Qué comprobantes hay que emitir electrónicamente?,referencia
252,1189,155,"Al estar inscrito en el régimen de inclusión social y promoción del trabajo independiente, ¿Qué clase de factura hago?",referencia
253,1125,147,¿Qué letra llevan los comprobantes de exportación?,referencia
254,1183,155,¿Qué tipo de comprobantes pueden hacer los Monotributistas del régimen de inclusión social y promoción del trabajo independiente?,referencia
255,1141,149,¿Dónde informo todos los comprobantes que emito?,referencia
256,1373,148,¿Qué comprobantes deben contener el Código de Barras?,referencia
257,1174,153,¿Cuáles son los comprobantes que tengo obligación de emitir electrónicamente?,referencia
258,1124,147,¿Cuál es la denominación del comprobante de exportación?,referencia
259,1134,148,¿Los comprobantes de qué tipo contienen código de barra?,referencia
260,846,104,¿Existe alguna limitación para ser Monotributista si soy síndico de una sociedad?,si_no
261,673,83,¿En la recategorización de oficio se tienen en cuenta todos los parámentros por más que no correspondan a mi actividad?,si_no
262,816,100,¿Es excluyente ser Responsable Inscripto y Monotributista?,si_no
263,225,30,¿Se computan de la misma forma tanto las unidades como las actividades económicas?,si_no
264,561,69,¿El cambio de domicilio está concluido por más que no haya recibido un código de confirmación?,si_no
265,1109,145,¿Debo otorgar algún comprobante particular?,si_no
266,148,20,Si realizo varias actividades ¿debo declarar cuál es la principal?,si_no
267,618,76,¿Debo recategorizarme si aún no fui Monotributista por más de 12 meses?,si_no
268,1202,157,¿Me pueden sancionar por no mostrar el comprobante?,si_no
269,288,38,"Una sociedad, con o sin fines de lucro ¿Puede inscribirse en el monotributo?",si_no
270,1213,158,¿Sancionan por no guardar los comprobantes de las operaciones que realicé?,si_no
271,479,59,"Si tengo inmuebles alquilados en el exterior, ¿puedo ser monotributista con esos ingresos?",si_no
272,1210,158,¿Hay alguna sanción por no tener las facturas de respaldo?,si_no
273,855,106,En el caso de las parcelas ¿Cada una de ellas equivale a una unidad de explotación?,si_no
274,478,59,¿Debo cumplir con algún requisito específico para ser Monotributista con ingresos por locación de inmuebles situadios en el exterior?,si_no
275,632,78,¿Es obligatoria la recategorización?,si_no
276,11,1,¿Puedo quedar fuera del Monotributo?,si_no
277,1143,150,¿Tengo que guardar los comprobantes que emito?,si_no
278,788,97,¿Es posible adherirse al Monotributo en caso de realizarse una actividad por única vez?,si_no
279,906,116,¿Estoy exceptuado de cumplir con las obligaciones de modo electrónico?,si_no
280,771,95,Una persona adherida al Monotributo por una actividad ¿puede realizar otra actividad bajo la condición de IVA Exento?,si_no
281,1226,3,"Si se realiza la baja del Monotributo por cese de actividad, ¿se puede volver a adherir en cualquier momento?",si_no
282,1354,129,"Respecto del componente previsional (jubilación y obra social), ¿se puede abonar solo uno de dichos conceptos y excluir del pago el otro?",si_no
283,1120,147,¿Las facturas de exportación son diferentes?,si_no
284,981,129,¿Se tienen que pagar los dos componentes previsionales?,si_no
285,1335,110,"Un contribuyente que reviste la condición de responsable inscripto en IVA y está en condiciones de adherir por el Monotributo, ¿Puede optar por cambiar de régimen en cualquier momento?",si_no
286,186,25,"¿Debo hacer algo en caso de ser monotributista por una actividad y a su vez ejerzo la dirección, administración o conducción de una sociedad que no es monotributista?",si_no
287,480,59,"Si una persona tiene como ingreso el alquiler de inmuebles en el exterior, ¿puede inscribirse en el monotributo?",si_no
288,264,35,¿Puede ir otra persona a sacarme el CUIT?,si_no
289,1070,141,¿Puedo ver los beneficios previsionales en el servicio CCMA?,si_no
290,401,50,¿Puedo inscribirme en el Monotributo retroactivamente?,si_no
291,1139,149,¿Es necesario que lleve un registro de todas las operaciones que hago?,si_no
292,231,31,Si antes era responsable inscripto y ahora soy monotributista ¿debo calcular las cargas de familias?,si_no
293,880,111,Si soy monotributista y al anualizar mis ingresos supero el máximo de la última categoría ¿Debo pasar a ser responsable inscripto en IVA?,si_no
294,494,61,¿Puedo dar de baja a una persona de la Obra Social desde Mi Monotributo?,si_no
295,876,110,¿Puedo cambiar de régimen IVA a Monotributo en cualquier momento?,si_no
296,439,54,¿Puedo descargar la credencial de pago?,si_no
297,955,125,¿El pago fuera de término genera intereses?,si_no
298,836,102,Soy dueño de una industria ¿Existen restricciones para ser Monotributista?,si_no
299,1191,156,¿Son diferentes las facturas hechas por efectores sociales?,si_no
300,55,7,Si me dan de baja en el Monotributo ¿Puedo volver a darme de alta?,si_no
301,827,101,"Si se realiza una venta de autos usados a nombre propio por cuenta de terceros, ¿Se puede decidir por el Monotributo?",si_no
302,1253,29,¿A los monotributistas se les aplica la alícuota diferencial del 27% de IVA en las facturas de servicios públicos?,si_no
303,75,10,¿Existe la posibilidad de darme de baja del Monotributo con fecha de varios meses atrás?,si_no
304,44,5,¿Puedo volver a ser monotributista inmediatamente si renuncié para ser responsable inscripto?,si_no
305,1064,140,Si pagué de más el Monotributo ¿Puedo hacer el reclamo?,si_no
306,1327,103,"El asociado a una cooperativa de trabajo, ¿se puede adherir al monotributo?",si_no
307,777,96,"¿Hay alguna limitación respecto de ser Monotributista y a su vez, tener empleados a cargo?",si_no
308,826,101,¿Se puede elegir por el monotributo en la caso de venta de autos usados a nombre propio por cuenta de terceros?,si_no
309,823,101,Vendo autos usados ¿Puedo ser Monotributista?,si_no
310,591,72,¿A partir de cuándo se puede llevar a cabo la recategorización?,temporal
311,919,118,"Me he adherido al monotributo, ¿cuando pago la cuota 1?",temporal
312,1042,137,¿Desde cuando está la información en el CCMA?,temporal
313,26,3,"Si me di de baja el monotributo porque ya no realizaba la actividad, ¿Cuánto tiempo tengo que esperar para darme de alta nuevamente?",temporal
314,1301,77,"Una vez realizada la recategorización, ¿Cuándo se empieza a pagar el importe de la nueva categoría?",temporal
315,1039,137,¿Desde qué fecha es la información que figura en el servicio CCMA?,temporal
316,60,8,¿Desde cuándo tiene vigencia la baja del Monotributo por exclusión?,temporal
317,932,121,¿Cuándo vence el monotributo?,temporal
318,586,72,¿Hay una fecha establecida para recategorizarme?,temporal
319,432,53,¿Cuándo es mi fecha de vencimiento para realizar el primer pago una vez iniciado las actividades del monotributo?,temporal
320,703,86,¿A partir de cuándo producen consecuencias de la recategorización de oficio?,temporal
321,627,77,Un sujeto recategorizado ¿En qué momento se empieza a pagar el importe de la nueva categoría?,temporal
322,399,50,¿Desde cuándo soy Monotributista?,temporal
323,47,6,Si me doy de baja del Monotributo ¿Desde cuándo comienza a correr?,temporal
324,700,86,¿En qué momento se producen efectos de la recategorización de oficio?,temporal
325,1227,4,"En caso de exclusión, ¿Cuánto tiempo se debe de aguardar para volver a adherirse al Monotributo?",temporal
326,425,53,¿Cuándo pago por primera vez al darme de alta el Monotributo?,temporal
327,1044,137,¿Desde qué período está la información en el CCMA?,temporal
328,988,130,"Una vez que pedí la baja, ¿cuándo debo dejar de pagar?",temporal
329,400,50,¿Soy Monotributista desde el día en que me inscribo?,temporal
330,1150,150,¿Cuánto tiempo debo conservar los papeles de operaciones relacionadas a mi actividad?,temporal
331,696,86,"Si me recategorizan de oficio, ¿A partir de cuándo paso a la nueva categoría?",temporal
332,61,8,Si me excluyen del Monotributo ¿Desde cuándo comienza a tener vigencia?,temporal
333,917,118,¿Cuándo tengo que pagar la primer cuota del monotributo?,temporal
334,64,8,¿A partir de cuándo tiene efecto la exclusión del monotributo?,temporal
335,43,5,En caso de renunciar ¿cuánto tengo que esperar para optar de nuevo por el monotributo?,temporal
336,1296,72,¿Cuando debe realizarse la recategorización?,temporal
337,1041,137,¿A partir de cuando figura la información en el servicio CCMA?,temporal
338,66,8,¿Desde qué momento se hace efectiva la baja por exclusión?,temporal
339,1147,150,¿Cuál es el tiempo máximo que debo guardar los comprobantes?,temporal
340,45,5,Si cambié de regimen y dejé de ser monotributista ¿cuánto tiempo tiene que pasar para que pueda volver a serlo?,temporal
341,992,130,¿En qué momento finaliza la obligación de pago del monotributo si ya inicié la baja?,temporal
342,430,53,"Una vez iniciadas las actividades del monotributo, ¿hasta cuándo tengo para realizar el primer pago?",temporal
